wavelength,papersce_0001,papersce_0002,papersce_0003,papersce_0004,papersce_0005,papersce_0006,papersce_0007,papersce_0008,papersce_0009,papersce_0010,papersce_0011,papersce_0012,papersce_0013,papersce_0014,papersce_0015,papersce_0016,papersce_0017,papersce_0018,papersce_0019,papersce_0020,papersce_0021,papersce_0022,papersce_0023,papersce_0024,papersce_0025,papersce_0026,papersce_0027,papersce_0028,papersce_0029,papersce_0030,papersce_0031,papersce_0032,papersce_0033,papersce_0034,papersce_0035,papersce_0036,papersce_0037,papersce_0038,papersce_0039,papersce_0040,papersce_0041,papersce_0042,papersce_0043,papersce_0044,papersce_0045,papersce_0046,papersce_0047,papersce_0048,papersce_0049,papersce_0050,papersce_0051,papersce_0052,papersce_0053,papersce_0054,papersce_0055,papersce_0056,papersce_0057,papersce_0058,papersce_0059,papersce_0060,papersce_0061,papersce_0062,papersce_0063,papersce_0064,papersce_0065,papersce_0066,papersce_0067,papersce_0068,papersce_0069,papersce_0070,papersce_0071,papersce_0072,papersce_0073,papersce_0074,papersce_0075,papersce_0076,papersce_0077,papersce_0078,papersce_0079,papersce_0080,papersce_0081,papersce_0082,papersce_0083,papersce_0084,papersce_0085,papersce_0086,papersce_0087,papersce_0088,papersce_0089,papersce_0090,papersce_0091,papersce_0092,papersce_0093,papersce_0094,papersce_0095,papersce_0096,papersce_0097,papersce_0098,papersce_0099,papersce_0100,papersce_0101,papersce_0102,papersce_0103,papersce_0104,papersce_0105,papersce_0106,papersce_0107,papersce_0108,papersce_0109,papersce_0110,papersce_0111,papersce_0112,papersce_0113,papersce_0114,papersce_0115,papersce_0116,papersce_0117,papersce_0118,papersce_0119,papersce_0120,papersce_0121,papersce_0122,papersce_0123,papersce_0124,papersce_0125,papersce_0126,papersce_0127,papersce_0128,papersce_0129,papersce_0130,papersce_0131,papersce_0132,papersce_0133,papersce_0134,papersce_0135,papersce_0136,papersce_0137,papersce_0138,papersce_0139,papersce_0140,papersce_0141,papersce_0142,papersce_0143,papersce_0144
400,0.6601,0.6824,0.6528,0.6875,0.6119,0.6329,0.6152,0.6287,0.6539,0.672,0.5563,0.5719,0.56,0.5684,0.5747,0.5794,0.6194,0.6349,0.5638,0.5825,0.5813,0.589,0.2908,0.2915,0.5721,0.573,0.5651,0.5707,0.5631,0.5703,0.5703,0.5769,0.5172,0.5221,0.4503,0.4491,0.644,0.6639,0.2594,0.3079,0.1031,0.1042,0.5448,0.5507,0.4612,0.4642,0.1116,0.1111,0.4443,0.4482,0.1006,0.1042,0.0755,0.073,0.4903,0.4907,0.5035,0.4987,0.0876,0.0883,0.2575,0.2582,0.2583,0.2563,0.52,0.5388,0.0989,0.0958,0.3111,0.3065,0.3373,0.3381,0.1173,0.1168,0.3633,0.3604,0.2508,0.247,0.2515,0.2466,0.1089,0.1051,0.3685,0.3617,0.2752,0.2635,0.2747,0.2672,0.4344,0.4356,0.2358,0.2397,0.2987,0.3004,0.4484,0.4539,0.5452,0.5461,0.5372,0.5441,0.1929,0.196,0.217,0.2155,0.5242,0.5292,0.4052,0.4044,0.1573,0.1559,0.1807,0.1831,0.5476,0.5518,0.144,0.1415,0.1456,0.1443,0.3626,0.3671,0.5038,0.5039,0.4307,0.432,0.5397,0.5376,0.5771,0.5814,0.6597,0.6799,0.2529,0.3201,0.4635,0.4619,0.2566,0.2466,0.4728,0.4703,0.579,0.5842,0.3304,0.3472,0.3459,0.338
410,0.6749,0.7062,0.6673,0.7089,0.6277,0.653,0.6302,0.6464,0.6702,0.6948,0.5893,0.6124,0.593,0.6085,0.5974,0.6049,0.6226,0.6387,0.5877,0.6088,0.6043,0.6153,0.3556,0.3571,0.5894,0.5927,0.585,0.592,0.5834,0.5918,0.5867,0.5963,0.5426,0.5483,0.4403,0.4389,0.653,0.676,0.2592,0.3077,0.0949,0.0962,0.5506,0.5571,0.4681,0.471,0.1003,0.1003,0.4445,0.4488,0.0924,0.0957,0.0706,0.0684,0.5193,0.5244,0.5013,0.4991,0.0837,0.0842,0.2587,0.2587,0.2587,0.2571,0.5162,0.5361,0.0964,0.0932,0.3032,0.2994,0.3801,0.3807,0.1029,0.1023,0.3548,0.3528,0.268,0.2648,0.2685,0.2642,0.0997,0.0962,0.3546,0.348,0.266,0.2569,0.2658,0.2604,0.411,0.4102,0.2372,0.2402,0.342,0.3443,0.4181,0.4226,0.5248,0.5259,0.5204,0.5259,0.1739,0.1756,0.2094,0.2074,0.5027,0.5063,0.3808,0.3792,0.1559,0.1554,0.167,0.1689,0.5423,0.5469,0.1262,0.1237,0.1278,0.1271,0.3507,0.3536,0.4944,0.4934,0.4048,0.406,0.5313,0.529,0.5759,0.5806,0.6604,0.6812,0.5188,0.5784,0.6555,0.6658,0.5261,0.5206,0.6525,0.6661,0.6675,0.7045,0.5454,0.5641,0.595,0.5953
420,0.687,0.7271,0.6788,0.7277,0.6394,0.6687,0.6419,0.6612,0.684,0.7142,0.6134,0.6441,0.6163,0.6402,0.6156,0.6262,0.625,0.6421,0.6043,0.6266,0.6196,0.6333,0.4149,0.417,0.6032,0.6084,0.6007,0.6091,0.5992,0.6091,0.6003,0.6124,0.5642,0.5713,0.431,0.4291,0.6568,0.6826,0.2616,0.312,0.0886,0.0894,0.5544,0.5613,0.478,0.481,0.0911,0.0915,0.4377,0.4422,0.0856,0.0887,0.0675,0.0652,0.5388,0.5474,0.5056,0.5045,0.0826,0.0827,0.2639,0.2635,0.2637,0.2627,0.5105,0.5316,0.0968,0.0935,0.2969,0.2936,0.4099,0.4107,0.0931,0.0931,0.3346,0.3335,0.2864,0.2831,0.287,0.2828,0.0918,0.0887,0.3423,0.3363,0.2597,0.2526,0.2598,0.2556,0.3865,0.3841,0.2314,0.2337,0.3764,0.3786,0.3876,0.3913,0.5021,0.5035,0.5002,0.5049,0.1586,0.1597,0.2112,0.2094,0.4793,0.4813,0.3564,0.3543,0.1613,0.1612,0.1544,0.156,0.536,0.5405,0.111,0.109,0.1128,0.1121,0.3402,0.3417,0.4855,0.4837,0.3817,0.3828,0.5203,0.5177,0.5694,0.5742,0.6575,0.678,0.8029,0.8642,0.8073,0.8429,0.8135,0.844,0.7911,0.835,0.727,0.7984,0.7612,0.7906,0.8412,0.8759
430,0.6957,0.7425,0.6869,0.7423,0.6461,0.6781,0.6477,0.6692,0.6932,0.7288,0.6252,0.6621,0.6267,0.6583,0.6269,0.6404,0.6284,0.6466,0.6118,0.6345,0.6254,0.6404,0.4703,0.4745,0.6113,0.6177,0.6099,0.6197,0.6082,0.6194,0.6082,0.6217,0.5802,0.5889,0.424,0.4217,0.6565,0.6828,0.2648,0.3181,0.0844,0.0854,0.5563,0.5635,0.4865,0.49,0.0878,0.0881,0.4237,0.4278,0.0814,0.0844,0.0677,0.0656,0.5436,0.5544,0.5202,0.5199,0.0865,0.0867,0.2787,0.2784,0.2786,0.2773,0.5092,0.5317,0.1025,0.0987,0.2997,0.2966,0.4278,0.4289,0.0907,0.0906,0.3199,0.3198,0.3071,0.3033,0.3082,0.3038,0.0886,0.086,0.3358,0.3303,0.2603,0.2544,0.2606,0.2573,0.3678,0.365,0.2234,0.2253,0.3976,0.3998,0.3653,0.3685,0.484,0.4863,0.4831,0.4879,0.153,0.1544,0.2278,0.2261,0.462,0.464,0.3395,0.3372,0.1755,0.1757,0.1462,0.1476,0.5339,0.5386,0.1035,0.1017,0.1051,0.1042,0.3343,0.3354,0.4812,0.4795,0.3699,0.371,0.5096,0.5071,0.5609,0.5655,0.6533,0.6736,0.9215,1.0059,0.8486,0.9058,0.9342,1.0129,0.8281,0.897,0.7406,0.8304,0.8473,0.8964,0.9349,1.011
440,0.7022,0.7554,0.6933,0.7544,0.6509,0.6854,0.6459,0.6677,0.6987,0.7386,0.6349,0.6773,0.6342,0.6736,0.6345,0.65,0.6344,0.654,0.6138,0.6372,0.6266,0.6429,0.5326,0.5424,0.6152,0.6229,0.6155,0.6262,0.614,0.6261,0.6122,0.6269,0.5966,0.607,0.4147,0.412,0.6506,0.6754,0.2668,0.3225,0.0803,0.0815,0.5553,0.5624,0.4908,0.4946,0.0869,0.0871,0.3973,0.4015,0.0772,0.0802,0.0698,0.0677,0.5398,0.551,0.5469,0.5486,0.0959,0.0965,0.3064,0.3063,0.3065,0.305,0.5174,0.5406,0.1133,0.1093,0.3122,0.309,0.4486,0.4498,0.0921,0.0917,0.3193,0.3192,0.3403,0.3361,0.3416,0.3372,0.0881,0.0857,0.334,0.3284,0.2662,0.2612,0.2667,0.2639,0.3536,0.35,0.2183,0.2201,0.415,0.4173,0.348,0.3504,0.4699,0.4729,0.4691,0.4735,0.1572,0.1581,0.2597,0.2574,0.4514,0.4534,0.3283,0.3254,0.2004,0.2005,0.141,0.1419,0.541,0.547,0.1008,0.0989,0.1024,0.1017,0.3332,0.334,0.4823,0.481,0.3719,0.3731,0.5007,0.4981,0.5536,0.5587,0.6494,0.6695,0.9327,1.034,0.852,0.9184,0.9458,1.0467,0.8321,0.9112,0.7435,0.842,0.8623,0.9243,0.9422,1.0363
450,0.7074,0.7669,0.6989,0.7651,0.6553,0.6912,0.6357,0.655,0.6996,0.7415,0.6433,0.6918,0.6407,0.6879,0.6375,0.6544,0.6436,0.6668,0.6132,0.6368,0.6258,0.6427,0.5771,0.5932,0.619,0.6278,0.62,0.6315,0.6183,0.6313,0.616,0.632,0.6134,0.6261,0.4009,0.3975,0.6399,0.661,0.2662,0.3219,0.0748,0.0759,0.5489,0.5558,0.4882,0.4917,0.0862,0.0866,0.3606,0.3648,0.0717,0.0748,0.0718,0.0689,0.5251,0.534,0.584,0.5893,0.1112,0.1116,0.3466,0.347,0.3471,0.3457,0.5358,0.5598,0.1311,0.1261,0.335,0.3316,0.4749,0.4762,0.0966,0.0965,0.3233,0.323,0.3878,0.3827,0.3885,0.3843,0.0888,0.0865,0.3371,0.3313,0.2785,0.2731,0.2788,0.276,0.3477,0.3438,0.2219,0.2237,0.4312,0.4338,0.3399,0.3417,0.465,0.4682,0.4637,0.4677,0.17,0.1704,0.3099,0.306,0.452,0.4539,0.3259,0.323,0.2363,0.2358,0.1387,0.1394,0.5584,0.5662,0.102,0.0997,0.1041,0.103,0.3364,0.3374,0.49,0.489,0.3879,0.3895,0.4971,0.4946,0.5517,0.5568,0.6496,0.6704,0.8939,0.9995,0.8304,0.8993,0.9065,1.0096,0.8138,0.8951,0.7369,0.8378,0.8419,0.9094,0.9078,1.0024
460,0.7107,0.7757,0.7023,0.7733,0.6582,0.6957,0.6168,0.6326,0.6949,0.7356,0.6501,0.705,0.6454,0.7011,0.635,0.6518,0.6546,0.6825,0.6104,0.6338,0.623,0.6394,0.5992,0.6205,0.6238,0.6335,0.6243,0.6368,0.6226,0.6363,0.6204,0.6376,0.6284,0.6441,0.3806,0.3763,0.6235,0.6408,0.2596,0.3119,0.0688,0.0699,0.5349,0.5407,0.4732,0.4761,0.0858,0.0862,0.3204,0.3245,0.0657,0.0688,0.0742,0.0704,0.5034,0.5095,0.625,0.6373,0.1358,0.1358,0.4009,0.4024,0.4021,0.4014,0.5618,0.5878,0.1585,0.1519,0.3719,0.3679,0.509,0.5106,0.107,0.107,0.3481,0.3484,0.4484,0.4437,0.449,0.445,0.0913,0.0891,0.3438,0.338,0.2944,0.289,0.2947,0.2922,0.3482,0.3444,0.2414,0.2433,0.4492,0.4514,0.3388,0.3404,0.4666,0.4702,0.464,0.4685,0.1919,0.1923,0.3839,0.3788,0.4614,0.4635,0.33,0.3278,0.2875,0.2855,0.1389,0.1394,0.5827,0.5934,0.1069,0.1046,0.1091,0.1081,0.3431,0.3444,0.5032,0.5028,0.4162,0.4179,0.4975,0.4954,0.5533,0.5587,0.6528,0.6756,0.8533,0.9594,0.8087,0.8785,0.8657,0.9661,0.7947,0.8771,0.7293,0.8322,0.8156,0.8867,0.8721,0.9641
470,0.714,0.7837,0.7058,0.7816,0.6609,0.7008,0.5934,0.6053,0.6867,0.7241,0.6551,0.7161,0.6494,0.7122,0.6282,0.6438,0.6676,0.7012,0.6051,0.6281,0.6175,0.6331,0.6126,0.6384,0.63,0.6411,0.6297,0.6434,0.6282,0.6429,0.6261,0.6454,0.6427,0.6622,0.3567,0.352,0.6046,0.6182,0.2478,0.2947,0.0639,0.0652,0.5164,0.5209,0.4489,0.4515,0.0866,0.087,0.2833,0.2873,0.0612,0.0644,0.0782,0.0737,0.4811,0.4853,0.666,0.6917,0.1796,0.1793,0.4699,0.4749,0.4721,0.4744,0.5988,0.6283,0.1964,0.1879,0.4258,0.4217,0.5506,0.5527,0.1275,0.127,0.4148,0.4142,0.5216,0.5201,0.5217,0.52,0.0972,0.0952,0.3547,0.3489,0.3118,0.3069,0.312,0.3102,0.3518,0.3479,0.2782,0.2806,0.469,0.4713,0.342,0.3432,0.472,0.4759,0.4671,0.472,0.2327,0.2337,0.4818,0.4788,0.4776,0.4804,0.3384,0.3366,0.3614,0.3573,0.1415,0.1422,0.6163,0.6333,0.1176,0.115,0.1197,0.1188,0.3544,0.3559,0.5231,0.524,0.4634,0.4665,0.5003,0.4985,0.5573,0.564,0.6584,0.6835,0.8311,0.9373,0.7973,0.8692,0.8433,0.9423,0.7845,0.8691,0.7259,0.8322,0.8007,0.8754,0.8517,0.9428
480,0.7164,0.7902,0.7086,0.7878,0.6626,0.7035,0.5663,0.5741,0.6755,0.7084,0.6574,0.7229,0.6512,0.7191,0.6177,0.6316,0.6802,0.7205,0.5962,0.618,0.6086,0.6231,0.6089,0.6345,0.6336,0.6456,0.6336,0.6479,0.6319,0.6476,0.6299,0.6502,0.6543,0.6769,0.3319,0.3273,0.5859,0.596,0.2342,0.275,0.0601,0.0615,0.496,0.4999,0.4231,0.4253,0.0876,0.0879,0.2517,0.2557,0.0577,0.0611,0.0825,0.0773,0.4618,0.4643,0.7003,0.7443,0.2543,0.2539,0.5397,0.5528,0.5428,0.5527,0.6422,0.6789,0.242,0.2313,0.4882,0.4858,0.5916,0.5951,0.1587,0.1579,0.498,0.4972,0.5975,0.6029,0.5963,0.6013,0.1056,0.1034,0.37,0.3642,0.3325,0.3275,0.3327,0.3311,0.361,0.3572,0.3231,0.3263,0.4886,0.4913,0.3519,0.3528,0.4839,0.4882,0.4755,0.4808,0.3014,0.3039,0.5843,0.593,0.5025,0.5072,0.3535,0.3519,0.4585,0.4531,0.1466,0.1476,0.6546,0.6831,0.1349,0.1319,0.1374,0.1366,0.3694,0.3712,0.5485,0.5511,0.5282,0.5354,0.5057,0.5042,0.5649,0.5732,0.667,0.6961,0.8131,0.9192,0.7879,0.8614,0.8252,0.924,0.7763,0.8626,0.7241,0.8334,0.789,0.8651,0.8355,0.9262
490,0.7179,0.7943,0.7102,0.7918,0.6605,0.701,0.5383,0.543,0.6619,0.6899,0.657,0.7243,0.6502,0.7207,0.6051,0.6167,0.6891,0.7348,0.583,0.6026,0.595,0.6076,0.5887,0.6093,0.6295,0.6412,0.6311,0.6456,0.6298,0.6453,0.6262,0.6458,0.6584,0.6821,0.3079,0.3029,0.567,0.5743,0.2212,0.2559,0.0568,0.058,0.4752,0.4786,0.3994,0.4011,0.0872,0.0877,0.2247,0.2289,0.0548,0.058,0.0853,0.0794,0.4469,0.4479,0.7205,0.7821,0.3558,0.3557,0.5894,0.6134,0.5938,0.6141,0.6771,0.7243,0.2956,0.284,0.5427,0.5443,0.6213,0.6263,0.2019,0.2013,0.5626,0.5646,0.6558,0.6701,0.6526,0.6684,0.1143,0.1118,0.3868,0.3814,0.3588,0.3526,0.3586,0.3561,0.378,0.3744,0.3592,0.3631,0.5043,0.5074,0.3724,0.3734,0.5055,0.5103,0.4915,0.4974,0.3891,0.3942,0.6593,0.6914,0.5376,0.5451,0.3778,0.3768,0.5615,0.5597,0.1547,0.1558,0.6866,0.7288,0.1608,0.157,0.1635,0.1627,0.3864,0.3888,0.5773,0.5817,0.5934,0.6083,0.5158,0.515,0.5785,0.588,0.6817,0.7174,0.797,0.9029,0.7796,0.8541,0.8087,0.9066,0.7693,0.8563,0.7221,0.8341,0.7776,0.8538,0.8203,0.9103
500,0.7171,0.7944,0.7097,0.7922,0.653,0.6905,0.5084,0.511,0.6443,0.6674,0.6535,0.7204,0.6463,0.7166,0.589,0.5982,0.6916,0.7401,0.563,0.5793,0.5738,0.5838,0.554,0.5679,0.6153,0.6252,0.6206,0.6336,0.6189,0.633,0.6127,0.6295,0.6523,0.6749,0.2864,0.281,0.5481,0.5537,0.208,0.2377,0.0548,0.0561,0.4566,0.4588,0.3768,0.3783,0.0879,0.0883,0.2027,0.2065,0.0531,0.0564,0.088,0.0815,0.4372,0.438,0.728,0.8013,0.4705,0.475,0.613,0.6452,0.6179,0.6462,0.6975,0.7555,0.3751,0.3655,0.5852,0.5925,0.6385,0.6447,0.28,0.2794,0.6052,0.6136,0.6882,0.7114,0.6837,0.71,0.1264,0.1238,0.4054,0.4001,0.3909,0.3836,0.3899,0.3866,0.4028,0.4,0.3813,0.3861,0.516,0.5191,0.4098,0.4115,0.5375,0.5434,0.5139,0.5209,0.4869,0.4968,0.6994,0.7612,0.586,0.5994,0.414,0.4142,0.6496,0.6623,0.1673,0.1686,0.7061,0.7613,0.2043,0.1993,0.2066,0.2059,0.4054,0.4084,0.6068,0.6151,0.6477,0.6756,0.529,0.529,0.5962,0.6086,0.7012,0.7492,0.7867,0.8916,0.7743,0.8507,0.7978,0.895,0.7641,0.8527,0.7204,0.8365,0.7695,0.846,0.8098,0.899
510,0.7153,0.7922,0.7082,0.7901,0.6426,0.6765,0.4816,0.4834,0.6266,0.6455,0.6476,0.7127,0.641,0.7089,0.5741,0.5818,0.6899,0.7379,0.5397,0.5538,0.5494,0.558,0.5083,0.516,0.5975,0.6049,0.6065,0.6179,0.6046,0.6173,0.5957,0.6094,0.642,0.6623,0.2743,0.2694,0.5373,0.5421,0.1986,0.2257,0.0562,0.0577,0.4481,0.4502,0.3624,0.3643,0.0925,0.0932,0.1905,0.1943,0.0544,0.0582,0.0936,0.0871,0.4366,0.4379,0.73,0.8078,0.5635,0.5791,0.6154,0.6488,0.6201,0.65,0.7086,0.7744,0.4676,0.4637,0.6109,0.6233,0.649,0.6567,0.3978,0.3979,0.6264,0.6404,0.7004,0.7293,0.6959,0.7279,0.1449,0.1428,0.427,0.4217,0.422,0.4153,0.4207,0.4181,0.4311,0.4292,0.3968,0.4027,0.526,0.5293,0.4597,0.4626,0.5739,0.5827,0.5385,0.5471,0.5774,0.5953,0.7186,0.8039,0.6401,0.6662,0.457,0.458,0.7029,0.7369,0.1839,0.1861,0.7159,0.7799,0.2698,0.264,0.272,0.2717,0.4263,0.4297,0.6341,0.6472,0.6873,0.7327,0.5427,0.5438,0.6151,0.6309,0.7214,0.7861,0.7786,0.882,0.7709,0.8495,0.79,0.8849,0.7614,0.8513,0.7207,0.8409,0.764,0.8403,0.8025,0.89
520,0.7129,0.7879,0.706,0.7864,0.6294,0.6597,0.4568,0.4574,0.6075,0.6227,0.6382,0.6991,0.6331,0.6958,0.5602,0.5665,0.6841,0.7287,0.5114,0.5236,0.5201,0.5271,0.4457,0.4497,0.5757,0.5815,0.5891,0.5987,0.5875,0.5979,0.5745,0.5856,0.6277,0.6453,0.2705,0.266,0.5325,0.5364,0.1946,0.2207,0.057,0.0584,0.4469,0.4495,0.3578,0.3598,0.0965,0.0971,0.1847,0.1883,0.0555,0.0594,0.0974,0.0905,0.4425,0.4439,0.7264,0.8026,0.616,0.6465,0.5974,0.625,0.6017,0.6262,0.7128,0.7826,0.525,0.5254,0.6067,0.6185,0.6539,0.662,0.5203,0.5268,0.6176,0.6302,0.6978,0.7259,0.6926,0.7245,0.1626,0.1604,0.4483,0.4438,0.4537,0.4488,0.4521,0.4515,0.4561,0.4554,0.4124,0.4193,0.5319,0.5357,0.5079,0.512,0.6055,0.6189,0.5581,0.5686,0.6492,0.6824,0.7249,0.8256,0.6865,0.7345,0.497,0.4985,0.7261,0.7787,0.2045,0.2077,0.72,0.7894,0.37,0.364,0.3723,0.3727,0.4483,0.4531,0.6565,0.6741,0.7145,0.7816,0.5547,0.5578,0.6284,0.6476,0.7374,0.8209,0.7683,0.87,0.7657,0.8452,0.7795,0.8712,0.7569,0.8467,0.7196,0.8432,0.7569,0.8328,0.7925,0.8768
530,0.7093,0.7815,0.7023,0.7807,0.6145,0.6402,0.4343,0.4341,0.5887,0.6006,0.6266,0.6814,0.6219,0.6778,0.5464,0.5513,0.6743,0.7155,0.4822,0.4917,0.49,0.4949,0.3792,0.3812,0.5512,0.555,0.5691,0.5776,0.5679,0.5762,0.5506,0.559,0.6116,0.626,0.2693,0.2642,0.5288,0.5323,0.1937,0.2186,0.0567,0.0581,0.447,0.449,0.3579,0.3589,0.1002,0.1008,0.1814,0.1852,0.0555,0.0593,0.0995,0.0918,0.4536,0.4554,0.7192,0.7885,0.6328,0.6718,0.5661,0.5857,0.5702,0.5866,0.712,0.7836,0.5218,0.5204,0.5748,0.5816,0.6555,0.6636,0.5829,0.5975,0.588,0.5951,0.6867,0.7107,0.6821,0.7093,0.1774,0.1742,0.4659,0.4617,0.4984,0.4978,0.4963,0.5009,0.4702,0.4708,0.4295,0.4373,0.5357,0.5394,0.5439,0.5501,0.6237,0.6411,0.567,0.579,0.6924,0.7451,0.7264,0.8363,0.7134,0.7866,0.5215,0.5235,0.7358,0.7988,0.2261,0.2293,0.7203,0.792,0.4782,0.4761,0.482,0.4849,0.4673,0.4726,0.6684,0.6899,0.7296,0.8165,0.5608,0.5645,0.6323,0.6532,0.745,0.8445,0.761,0.8606,0.7631,0.8432,0.7715,0.8602,0.7531,0.8428,0.7183,0.8456,0.7522,0.8266,0.7852,0.8663
